SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT
162,16.7,1594,0,-329,-194.7
237,47.9,1587,0,-329,-178.2
180,77.2,1397,0,-329,-73.9
223,45.4,1527,0,-329,-123.9
203,231.5,1375,0,-327,-1.1
182,348.1,1375,0,-222,-0.6
122,269.9,1414,0,-228,-0.9
66,261.9,1415,0,-199,-1.2
113,241.4,1411,0,-222,-4.5
99,201.9,1393,0,-326,-45.6
69,238.3,1653,0,-329,-83.6
92,275.6,1646,0,-329,-48.3
69,307.8,1491,0,-329,-191.0
89,338.1,1489,0,-329,-182.3
118,507.2,1497,0,-329,-182.1
82,442.3,1592,0,-329,-150.8
109,388.1,1590,0,-329,-179.5
67,343.2,1595,0,-329,-173.5
71,386.9,1705,0,-329,-189.5
83,691.9,1739,0,-329,-179.7
194,533.8,1845,0,-328,7.9
206,507.8,1840,0,-328,4.0
197,255.2,1835,0,-329,-5.4
84,187.8,1697,0,-329,-78.3
148,234.9,1553,0,-329,-162.0
279,265.5,1465,0,-329,-145.3
241,114.1,1351,0,-329,-94.3
233,85.4,1284,0,-326,-41.4
204,33.6,1236,0,-154,-53.4
212,-27.5,1236,0,-101,5.7
206,36.2,1236,0,-100,-8.2
216,19.0,1233,0,-101,1.4
67,-266.3,1240,0,-168,4.5
186,48.6,1486,0,-236,-192.8
207,95.5,1658,0,-230,-145.3
112,517.2,1660,0,-230,-19.7
77,721.4,1716,0,-227,-1.8
158,798.3,1715,0,-112,-3.7
232,780.8,1601,0,-110,-27.7
273,661.7,1600,0,-110,-127.5
285,629.3,1573,0,-112,-139.7
225,666.1,1580,0,-188,-31.6
199,750.1,1689,0,-227,-0.0
249,989.4,1248,0,0,-0.2
170,955.7,1249,0,0,4.0
179,888.8,1248,0,0,-2.2
34,494.5,1247,0,0,-0.0
12,751.1,1187,0,0,-0.0
62,529.5,1099,0,0,-0.0
1,588.1,1105,0,0,-0.0
12,126.9,1246,0,0,-0.0
49,223.5,1179,0,0,-0.0
5,177.7,1126,0,0,-0.0
-53,279.3,716,0,0,-0.0
33,272.2,680,0,0,-0.0
-3,201.6,836,0,0,-0.0
-79,197.2,1016,0,0,-0.0
-196,95.6,1084,0,0,-0.0
-165,-505.9,1180,0,0,-0.0
-71,-517.0,1185,0,0,-0.0
-89,-483.5,1250,0,0,-0.0
171,-508.0,1250,0,0,-0.0
246,-465.0,1252,0,0,-0.0
323,-496.5,1252,0,0,-0.0
288,-710.5,1251,0,0,-0.0
226,-716.0,1250,0,0,-0.0
214,-506.0,1251,0,0,-0.0
272,-470.5,1257,0,0,-0.0
191,-557.0,1449,0,0,-0.0
276,-742.5,1450,0,0,-0.0
156,-511.5,1447,0,0,-0.0
124,49.5,1404,0,0,-0.0
103,583.0,1448,0,0,-0.0
116,723.5,1432,0,0,-0.0
98,665.0,1194,0,0,-0.0
140,902.5,1194,0,0,-0.0
155,901.5,1236,0,0,-0.0
89,807.5,1307,0,0,-0.0
