ME_exports_NB,VT_exports_HQ,CT_exports_NY,WCMA_exports_NY,VT_exports_NY
0,0,211.06666666666666,52.766666666666666,211.06666666666666
0,0,139.06666666666666,34.766666666666666,139.06666666666666
0,0,65.95555555555556,16.48888888888889,65.95555555555556
0,0,68.35555555555555,17.08888888888889,68.35555555555555
0,0,66.26666666666667,16.566666666666666,66.26666666666667
0,0,74.88888888888889,18.72222222222222,74.88888888888889
0,0,149.15555555555557,37.28888888888889,149.15555555555557
0,0,162.66666666666666,40.666666666666664,162.66666666666666
0,0,211.46666666666667,52.86666666666667,211.46666666666667
0,0,212.75555555555556,53.18888888888889,212.75555555555556
0,0,190.35555555555555,47.58888888888889,190.35555555555555
0,0,143.11111111111111,35.77777777777778,143.11111111111111
0,0,191.55555555555554,47.888888888888886,191.55555555555554
0,0,206.8,51.7,206.8
0,0,156.53333333333333,39.13333333333333,156.53333333333333
0,0,147.42222222222222,36.855555555555554,147.42222222222222
0,0,146.13333333333333,36.53333333333333,146.13333333333333
0,0,92.80000000000001,23.200000000000003,92.80000000000001
0,0,139.55555555555554,34.888888888888886,139.55555555555554
0,0,123.86666666666666,30.966666666666665,123.86666666666666
0,0,133.77777777777777,33.44444444444444,133.77777777777777
0,0,221.2,55.3,221.2
0,0,226.22222222222223,56.55555555555556,226.22222222222223
0,0,234.4888888888889,58.62222222222223,234.4888888888889
0,0,233.2888888888889,58.32222222222222,233.2888888888889
0,0,233.82222222222222,58.455555555555556,233.82222222222222
0,0,216.44444444444446,54.111111111111114,216.44444444444446
0,0,209.2888888888889,52.32222222222222,209.2888888888889
0,0,186.44444444444446,46.611111111111114,186.44444444444446
0,0,215.42222222222222,53.855555555555554,215.42222222222222
0,0,202.75555555555556,50.68888888888889,202.75555555555556
0,0,215.2888888888889,53.82222222222222,215.2888888888889
0,0,211.2,52.8,211.2
0,0,238.13333333333333,59.53333333333333,238.13333333333333
0,0,238.84444444444443,59.71111111111111,238.84444444444443
0,0,235.2444444444444,58.8111111111111,235.2444444444444
0,0,233.42222222222225,58.35555555555556,233.42222222222225
0,0,236.66666666666666,59.166666666666664,236.66666666666666
0,0,236.39999999999998,59.099999999999994,236.39999999999998
0,0,238.26666666666668,59.56666666666667,238.26666666666668
0,0,238.04444444444445,59.51111111111111,238.04444444444445
0,0,234.39999999999998,58.599999999999994,234.39999999999998
0,0,236.17777777777778,59.044444444444444,236.17777777777778
0,0,243.2444444444444,60.8111111111111,243.2444444444444
0,0,227.86666666666667,56.96666666666667,227.86666666666667
0,0,236.44444444444446,59.111111111111114,236.44444444444446
0,0,236.39999999999998,59.099999999999994,236.39999999999998
0,0,228.0,57.0,228.0
0,0,198.3111111111111,49.577777777777776,198.3111111111111
0,0,120.3111111111111,30.077777777777776,120.3111111111111
0,0,120.3111111111111,30.077777777777776,120.3111111111111
0,0,157.64444444444445,39.41111111111111,157.64444444444445
