CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
14.026753893241585,14.026753893241585,14.026753893241585,14.026753893241585,14.026753893241585,14.026753893241585,14.026753893241585,14.026753893241585
14.083685638831728,14.083685638831728,14.083685638831728,14.083685638831728,14.083685638831728,14.083685638831728,14.083685638831728,14.083685638831728
13.891395763420121,13.891395763420121,13.891395763420121,13.891395763420121,13.891395763420121,13.891395763420121,13.891395763420121,13.891395763420121
13.94193721103586,13.94193721103586,13.94193721103586,13.94193721103586,13.94193721103586,13.94193721103586,13.94193721103586,13.94193721103586
13.943680019574334,13.943680019574334,13.943680019574334,13.943680019574334,13.943680019574334,13.943680019574334,13.943680019574334,13.943680019574334
13.999449892805494,13.999449892805494,13.999449892805494,13.999449892805494,13.999449892805494,13.999449892805494,13.999449892805494,13.999449892805494
14.050572276600725,14.050572276600725,14.050572276600725,14.050572276600725,14.050572276600725,14.050572276600725,14.050572276600725,14.050572276600725
14.12028461813968,14.12028461813968,14.12028461813968,14.12028461813968,14.12028461813968,14.12028461813968,14.12028461813968,14.12028461813968
14.052315085139202,14.052315085139202,14.052315085139202,14.052315085139202,14.052315085139202,14.052315085139202,14.052315085139202,14.052315085139202
14.037791680651921,14.037791680651921,14.037791680651921,14.037791680651921,14.037791680651921,14.037791680651921,14.037791680651921,14.037791680651921
13.984345552138723,13.984345552138723,13.984345552138723,13.984345552138723,13.984345552138723,13.984345552138723,13.984345552138723,13.984345552138723
13.894300444317576,13.894300444317576,13.894300444317576,13.894300444317576,13.894300444317576,13.894300444317576,13.894300444317576,13.894300444317576
13.825169038958117,13.825169038958117,13.825169038958117,13.825169038958117,13.825169038958117,13.825169038958117,13.825169038958117,13.825169038958117
13.874548614214875,13.874548614214875,13.874548614214875,13.874548614214875,13.874548614214875,13.874548614214875,13.874548614214875,13.874548614214875
13.772884782803903,13.772884782803903,13.772884782803903,13.772884782803903,13.772884782803903,13.772884782803903,13.772884782803903,13.772884782803903
13.777532272239833,13.777532272239833,13.777532272239833,13.777532272239833,13.777532272239833,13.777532272239833,13.777532272239833,13.777532272239833
